buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,135.05289488690565,30.96090052339248,5000,5000.0,32.29880404472351
6000.0,6.0,1000.0,118.61146169201038,40.35948515075374,6000,6000.0,57.07612705230713
7000.0,7.0,1000.0,131.31110150467669,40.236995803980754,7000,7000.0,81.92887711524963
8000.0,8.0,1000.0,139.9713703614168,39.81259215190078,8000,8000.0,107.04655909538269
9000.0,9.0,1000.0,129.13065246003114,39.47635706542211,9000,9000.0,132.37817811965942
10000.0,10.0,1000.0,94.56742712492282,39.43876258069045,10000,10000.0,157.73394417762756
11000.0,11.0,1000.0,178.84972389234912,33.50954877421903,11000,11000.0,187.57618522644043
12000.0,12.0,1000.0,149.2141822586134,39.72765098228685,12000,12000.0,212.74757027626038
13000.0,13.0,1000.0,186.2622207986796,39.986222627284036,13000,13000.0,237.75618529319763
14000.0,14.0,1000.0,152.7247489726888,40.16864243947152,14000,14000.0,262.65122628211975
15000.0,15.0,1000.0,120.25760681757788,38.87678771020481,15000,15000.0,288.3735160827637
16000.0,16.0,1000.0,75.65311704579645,40.14059329162447,16000,16000.0,313.28595304489136
17000.0,17.0,1000.0,106.90709767277114,40.37978935273299,17000,17000.0,338.05081725120544
18000.0,18.0,1000.0,261.1747092703643,40.43523008345086,18000,18000.0,362.7817270755768
19000.0,19.0,1000.0,204.55413451239633,40.707391553818766,19000,19000.0,387.3472902774811
20000.0,20.0,1000.0,125.25272359441685,39.79858441742535,20000,20000.0,412.4738121032715
21000.0,21.0,1000.0,109.34400149397015,32.60529828789892,21000,21000.0,443.143675327301
